,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
109,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
110,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
111,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
112,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
113,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
114,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
115,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
116,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
117,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
118,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
119,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
120,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
121,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
122,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
123,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
124,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
125,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
126,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
127,39,31,12469833.00000683,5.281e-05,6.272283035452182,16.134411113928145,0.0,39,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
